[2024-06-25T15:14:38.066] [INFO] Info - {"From":"APP","Date":"2024-06-25T09:44:38.065Z","Ip":"::1","Request_Url":"/BusinessAndBranchManagement/Invite_BusinessDetailsList","Request_Body":{"CustomerCategory":"Seller","CustomerId":"66793a7d23e5990f2491ff16"},"If_Get":{},"Device_Info":{"ua":"PostmanRuntime/7.39.0","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T15:56:25.299] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:26:25.298Z","Ip":"::1","Request_Url":"/BusinessAndBranchManagement/Invite_BusinessDetailsList","Request_Body":{"CustomerCategory":"Seller","CustomerId":"66793a7d23e5990f2491ff16"},"If_Get":{},"Device_Info":{"ua":"PostmanRuntime/7.39.0","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T15:57:37.589] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:27:37.589Z","Ip":"::1","Request_Url":"/BusinessAndBranchManagement/Invite_BusinessDetailsList","Request_Body":{"CustomerCategory":"Seller","CustomerId":"667a582d0fab2d7b7da2955a"},"If_Get":{},"Device_Info":{"ua":"PostmanRuntime/7.39.0","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:03:56.651] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:33:56.651Z","Ip":"::1","Request_Url":"/BusinessAndBranchManagement/Invite_BusinessDetailsList","Request_Body":{"CustomerCategory":"Seller","CustomerId":"667a582d0fab2d7b7da2955a"},"If_Get":{},"Device_Info":{"ua":"PostmanRuntime/7.39.0","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:18:04.321] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:48:04.321Z","Ip":"::ffff:172.16.1.91","Request_Url":"/CommonManagement/GenerateOTP","Request_Body":{"Mobile":"7376634306"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:18:06.259] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:48:06.259Z","Ip":"::ffff:172.16.1.91","Request_Url":"/CommonManagement/LogOut","Request_Body":{"Mobile":"7376634306"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:18:07.041] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:48:07.041Z","Ip":"::ffff:172.16.1.91","Request_Url":"/CommonManagement/GenerateOTP","Request_Body":{"Mobile":"7376634306"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:18:08.203] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:48:08.203Z","Ip":"::ffff:172.16.1.91","Request_Url":"/CommonManagement/VerifyOTP","Request_Body":{"Mobile":"7376634306","OTP":"927403","Device_Id":"","Device_Type":""},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:18:13.954] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:48:13.954Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:18:14.076] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:48:14.076Z","Ip":"::ffff:172.16.1.91","Request_Url":"/CustomerManagement/CustomerDetails","Request_Body":{"CustomerId":"667a582d0fab2d7b7da2955a"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:18:14.087] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:48:14.087Z","Ip":"::ffff:172.16.1.91","Request_Url":"/HundiScoreManagement/CustomerDashBoard","Request_Body":{"CustomerId":"667a582d0fab2d7b7da2955a","CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:18:14.124] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:48:14.124Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:18:34.457] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:48:34.457Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/MyBusinessListMobile?Customer=667a582d0fab2d7b7da2955a&CustomerCategory=Seller","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:18:34.467] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:48:34.467Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/MyBusinessListMobile?Customer=667a582d0fab2d7b7da2955a&CustomerCategory=Seller","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:19:27.440] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:49:27.440Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/CreateBusiness","Request_Body":{"CustomerId":"667a582d0fab2d7b7da2955a","FirstName":"AdhiAdhi","LastName":"","BusinessUnique_id":"FFGGOO","Mobile":"7376634306","Industry":"64d5d44b6f06aa2fb79b26d5","BusinessCreditLimit":58888,"CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:39.465] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:39.464Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.514] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.514Z","Ip":"::ffff:172.16.1.91","Request_Url":"/HundiScoreManagement/CustomerDashBoard","Request_Body":{"CustomerId":"6666854b6e7e5654e80054b6","CustomerCategory":"Buyer"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.535] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.535Z","Ip":"::ffff:172.16.1.91","Request_Url":"/HundiScoreManagement/CustomerDashBoard","Request_Body":{"CustomerId":"6666854b6e7e5654e80054b6","CustomerCategory":"Buyer"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.539] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.539Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.542] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.542Z","Ip":"::ffff:172.16.1.91","Request_Url":"/CustomerManagement/CustomerDetails","Request_Body":{"CustomerId":"6666854b6e7e5654e80054b6"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.547] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.547Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.552] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.552Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.577] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.577Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.594] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.594Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.618] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.618Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.685] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.685Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.702] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.702Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.724] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.724Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.764] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.764Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.768] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.768Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.782] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.782Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.818] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.818Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.828] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.828Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.850] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.850Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.861] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.861Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.866] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.866Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.883] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.883Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.900] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.900Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.917] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.917Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.934] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.933Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.963] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.963Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.969] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.969Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:50.986] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:50.986Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.011] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.011Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.016] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.016Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.036] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.036Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.053] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.053Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.082] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.082Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.087] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.087Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.104] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.104Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.131] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.131Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.137] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.137Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.153] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.153Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.181] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.181Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.187] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.187Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.202] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.202Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.230] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.230Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.256] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.256Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-06-25T16:23:51.283] [INFO] Info - {"From":"APP","Date":"2024-06-25T10:53:51.283Z","Ip":"::ffff:172.16.1.91","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
